"Nachname","Vorname","Stimmen","BFS-Nr.","Gemeindenamen","Bisher","Gewählt","Wahlkreis-Nr.","Wahlkreis","Kandidaten-Nr."
"Aguilera","Victor","75","200","Wangen-Brüttisellen","0","0","12","KR 2019 - Wahlkreis XII, Uster","12_510"
"Agusi","Redilje (Rixhil)","45","241","Aesch","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_208"
"Agusi","Redilje (Rixhil)","213","242","Birmensdorf","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_208"
"Agusi","Redilje (Rixhil)","570","243","Dietikon","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_208"
"Agusi","Redilje (Rixhil)","85","244","Geroldswil","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_208"
"Agusi","Redilje (Rixhil)","176","245","Oberengstringen","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_208"
"Agusi","Redilje (Rixhil)","35","246","Oetwil an der Limmat","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_208"
"Agusi","Redilje (Rixhil)","444","247","Schlieren","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_208"
"Agusi","Redilje (Rixhil)","75","248","Uitikon","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_208"
"Agusi","Redilje (Rixhil)","64","249","Unterengstringen","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_208"
"Agusi","Redilje (Rixhil)","341","250","Urdorf","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_208"
"Agusi","Redilje (Rixhil)","79","251","Weiningen","0","0","7","KR 2019 - Wahlkreis VII, Dietikon","7_208"
"Akanji","Sarah","2499","10230","Winterthur Altstadt","0","1","14","KR 2019 - Wahlkreis XIV, Stadt Winterthur","14_204"
"Akanji","Sarah","1437","20230","Winterthur O'Winterthur","0","1","14","KR 2019 - Wahlkreis XIV, Stadt Winterthur","14_204"
"Akanji","Sarah","1029","30230","Winterthur Seen","0","1","14","KR 2019 - Wahlkreis XIV, Stadt Winterthur","14_204"
"Akanji","Sarah","580","40230","Winterthur Töss","0","1","14","KR 2019 - Wahlkreis XIV, Stadt Winterthur","14_204"
"Akanji","Sarah","1070","50230","Winterthur Veltheim","0","1","14","KR 2019 - Wahlkreis XIV, Stadt Winterthur","14_204"
"Akanji","Sarah","899","60230","Winterthur Wülflingen","0","1","14","KR 2019 - Wahlkreis XIV, Stadt Winterthur","14_204"
"Akanji","Sarah","1043","70230","Winterthur Mattenbach","0","1","14","KR 2019 - Wahlkreis XIV, Stadt Winterthur","14_204"
"Akyol","Ezgi","6","51","Bachenbülach","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","30","52","Bassersdorf","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","35","53","Bülach","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","27","54","Dietlikon","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","13","55","Eglisau","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","22","56","Embrach","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
"Akyol","Ezgi","9","57","Freienstein-Teufen","0","0","17","KR 2019 - Wahlkreis XVII, Bülach","17_808"
