bfs;gmd;hh1_risikopersonen;hh11_alleinstehend;hh12_paar_beide_alt;hh13_paar_eine_person_alt;hh2_kinderbetreuungsproblem;hh21_alleinerziehend;hh22_elternpaar;hh3_andere
214;Dägerlen;25.93516209;6.234413965;11.4713217;8.229426434;17.70573566;1.496259352;16.20947631;56.35910224
215;Dättlikon;30;9.677419355;13.5483871;6.774193548;24.83870968;1.935483871;22.90322581;45.16129032
216;Dinhard;32.47496423;10.58655222;14.59227468;7.296137339;19.59942775;1.430615165;18.16881259;47.92560801
218;Ellikon a.d.Th.;29.02298851;8.908045977;12.35632184;7.75862069;19.25287356;0.862068966;18.3908046;51.72413793
219;Elsau;31.70227429;10.19986216;14.12818746;7.374224673;20.12405238;1.654031702;18.47002068;48.17367333
220;Hagenbuch;25.36997886;8.033826638;10.78224101;6.553911205;17.97040169;2.748414376;15.22198732;56.65961945
221;Hettlingen;29.85318108;11.58238173;13.05057096;5.220228385;20.7177814;1.386623165;19.33115824;49.42903752
223;Neftenbach;27.42073693;9.597257926;11.52527849;6.298200514;21.89374464;1.970865467;19.92287918;50.68551842
224;Pfungen;21.36335971;8.581862447;9.007912355;3.773584906;20.63298844;1.947656726;18.68533171;58.00365186
225;Rickenbach;30.0630063;11.88118812;12.87128713;5.310531053;22.86228623;1.620162016;21.24212421;47.07470747
226;Schlatt;30.26315789;11.51315789;11.84210526;6.907894737;25.65789474;1.644736842;24.01315789;44.07894737
227;Seuzach;34.89348935;13.11131113;15.90159016;5.880588059;16.35163516;1.170117012;15.18151815;48.75487549
228;Turbenthal;29.66101695;10.56829511;11.71485543;7.377866401;20.53838485;1.894317049;18.6440678;49.80059821
230;Winterthur;24.7432506;11.74822999;8.531082238;4.46393838;17.87909437;2.145413522;15.73368085;57.37765502
231;Zell;29.50322336;12.3246113;11.26279863;5.915813424;19.60561244;1.706484642;17.8991278;50.8911642
241;Aesch;26.25698324;8.519553073;13.12849162;4.608938547;21.64804469;1.396648045;20.25139665;52.09497207
242;Birmensdorf;29.20026882;12.02956989;11.99596774;5.174731183;20.26209677;1.713709677;18.5483871;50.53763441
243;Dietikon;24.31061288;11.30022093;8.550855086;4.459536863;19.13918665;2.004745929;17.13444072;56.55020047
244;Geroldswil;32.21957041;13.46062053;13.07875895;5.680190931;21.43198091;2.720763723;18.71121718;46.34844869
245;Oberengstringen;30.77415227;14.84325016;10.7165707;5.214331414;15.96289187;1.85540627;14.1074856;53.26295585
246;Oetwil a.d.L.;31.81818182;13.2996633;12.28956229;6.228956229;13.2996633;0.757575758;12.54208754;54.88215488
247;Schlieren;22.42124768;10.01852996;7.757875232;4.644842495;18.66584311;1.531809759;17.13403335;58.9129092
248;Uitikon;33.60739979;11.92189106;15.05652621;6.628982528;20.55498458;1.387461459;19.16752312;45.83761562
249;Unterengstringen;32.44495944;13.55735805;11.7612978;7.126303592;17.67091541;1.622247972;16.04866744;49.88412514
250;Urdorf;29.7834338;12.88233981;11.96695691;4.934137084;18.24067872;1.384237553;16.85644117;51.97588747
251;Weiningen;26.07632094;8.463796477;10.95890411;6.653620352;19.03131115;1.516634051;17.5146771;54.89236791
261;Zürich;21.59954873;11.87472409;5.879727277;3.845097366;15.99941139;1.998822779;14.00058861;62.40103988
292;Stammheim;34.58844133;11.9089317;14.18563923;8.493870403;16.81260946;1.576182137;15.23642732;48.59894921
293;Wädenswil;32.13848904;12.77636654;12.79518299;6.566939505;17.38639571;1.712296547;15.67409916;50.47511525
294;Elgg;30.86011342;12.57088847;11.90926276;6.379962193;17.39130435;1.559546314;15.83175803;51.74858223
295;Horgen;29.84043094;12.23701596;11.63736152;5.966053461;20.47972355;2.134363248;18.3453603;49.67984551
296;Illnau-Effretikon;29.94805195;12.96103896;11.7012987;5.285714286;17.61038961;1.571428571;16.03896104;52.44155844
297;Bauma;29.14451426;11.40647656;10.97148381;6.766553891;17.15804737;1.256645723;15.90140164;53.69743838
298;Wiesendangen;33.40840841;11.93693694;15.42792793;6.043543544;19.89489489;1.388888889;18.50600601;46.6966967
