Stand,Kanton,Jahr,Stufe,Schultyp,Geschlecht,Nationalitaet,Finanzierung,Anzahl
23.11.2020,zh,2002,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,CH,oef,2862
23.11.2020,zh,2002,Tertiärstufe,Höhere Berufsbildung,M,CH,priv,4289
23.11.2020,zh,2002,Tertiärstufe,Höhere Berufsbildung,M,CH,oef,4579
23.11.2020,zh,2002,Tertiärstufe,Fachhochschule und pädagogische Hochschule,M,CH,priv,1236
23.11.2020,zh,2002,Tertiärstufe,Fachhochschule und pädagogische Hochschule,F,Ausländer,priv,50
23.11.2020,zh,2002,Tertiärstufe,Höhere Berufsbildung,F,Ausländer,priv,274
23.11.2020,zh,2003,Primarstufe 1-2,Heim- und Sonderschule,F,Ausländer,oef,99
23.11.2020,zh,2003,Primarstufe 1-2,Volksschule,M,Ausländer,oef,3569
23.11.2020,zh,2003,Primarstufe 1-2,Heim- und Sonderschule,F,CH,oef,133
23.11.2020,zh,2003,Primarstufe 1-2,Volksschule,M,CH,oef,8693
23.11.2020,zh,2003,Primarstufe 1-2,Heim- und Sonderschule,M,Ausländer,oef,181
23.11.2020,zh,2003,Primarstufe 1-2,Volksschule,F,CH,oef,8114
