Stand,Kanton,Jahr,Stufe,Typ,Geschlecht,Finanzierung,Land,Anzahl
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Türkei,9
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Spanien,12
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Slowenien,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Türkei,18
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,priv,Mittel- und Südamerika,2
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Nord-/Westeuropa,15
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Schweiz,2759
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Staat unbekannt,2
23.11.2020,zh,2001,Sekundarstufe I,Handelsmittelschule,F,oef,Italien,3
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Österreich,11
23.11.2020,zh,2001,Sekundarstufe I,Handelsmittelschule,F,oef,Staat unbekannt,1
23.11.2020,zh,2001,Sekundarstufe I,Handelsmittelschule,M,oef,Schweiz,61
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Süd-/Osteuropa,24
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Mittel- und Südamerika,3
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Nordmazedonien,3
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,priv,Österreich,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,priv,Kroatien,2
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Schweiz,2208
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,priv,Nordamerika,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Bosnien und Herzegowina,4
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,priv,Italien,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Kroatien,13
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Deutschland,46
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,M,oef,Österreich,4
23.11.2020,zh,2001,Sekundarstufe I,Handelsmittelschule,M,oef,Griechenland,1
23.11.2020,zh,2001,Sekundarstufe I,Gymnasium,F,oef,Italien,21
